LGDNAME,LGDCode,popn,N_emp_dep,popn_dens,Settlement_popn,N_Crimes,N_ASB,N_Burglary,N_Criminal_d,N_Drugs,N_Robbery,N_Shoplifting,N_Vehicle_crime,N_Violence,lat,lon
Antrim and Newtownabbey,N09000001,141428,14491,194,37078,9645,3505,382,1023,411,21,410,177,2366,55,-6
Armagh City Banbridge and Craigavon,N09000002,209276,23150,146,22501,15362,6129,608,1664,639,42,533,303,3782,54,-6
Belfast,N09000003,337885,52859,2454,233395,48627,17408,2247,5207,1938,326,2328,1377,10690,55,-6
Causeway Coast and Glens,N09000004,143541,18429,72,6089,8939,3449,360,1111,371,12,226,152,2250,55,-7
Derry City and Strabane,N09000005,150134,26947,120,46112,12708,4871,442,1563,593,45,497,260,3327,55,-7
Fermanagh and Omagh,N09000006,115794,14751,39,4645,7082,2931,291,768,287,22,295,180,1663,54,-8
Lisburn and Castlereagh,N09000007,142587,11698,279,30263,9521,3140,478,936,597,21,357,177,2588,55,-6
Mid and East Antrim,N09000008,137427,14417,130,14152,9836,3767,380,1095,433,20,604,133,2185,55,-6
Mid Ulster,N09000009,145391,16040,74,3121,7383,2901,272,789,306,17,175,214,1874,55,-7
Newry Mourne and Down,N09000010,178794,22585,106,5401,12459,4931,523,1492,576,37,388,310,2851,54,-6
Ards and North Down,N09000011,159893,15914,282,29010,10234,4432,395,1043,344,22,390,166,2301,55,-6
